"","X1","X2","X3","X4","X5","X6"
"1","","","Filed","Reopened","Disposed",""
"2","","Pending","","","","Pending"
"3","DISCRETIONARY JURISDICTION","","","","",""
"4","Rule 12-502 Certiorari Petitions","74","285","18","308","69"
"5","Rule 12-501 Certiorari Petitions","116","152","4","97","175"
"6","Extraordinary Writ Petitons","30","63","10","85","18"
"7","Interlocutory Appeals","3","2","0","1","4"
"8","Certification Requests","5","1","0","4","2"
"9","Miscellaneous","0","2","1","2","1"
"10","MANDATORY JURISDICTION","","","","",""
"11","Capital Appeals","29","16","0","13","32"
"12","Other Criminal Appeals","8","12","0","10","10"
"13","Public Regulation Commission Appeals","5","10","2","11","6"
"14","Election Challenge Appeals","2","1","0","3","0"
"15","DISCIPLINARY AND ATTORNEY REGULATION","","","","",""
"16","JURISDICTION","","","","",""
"17","Attorney Disciplinary Proceedings","10","13","7","22","8"
"18","Judicial Disciplinary Proceedings","0","1","2","2","1"
"19","Board of Bar Examiners","0","5","2","6","1"
"20","State Bar Miscellaneous","3","4","0","3","4"
"21","TOTAL","285","567","46","567","331"
