"","X1","X2","X3","X4","X5","X6","X7"
"1","NEW CASE FILINGS","","","","","",""
"2","CATEGORY","TOTAL FILED","PERCENTAGE OFCASES FILED","","CATEGORY","TOTAL FILED","PERCENTAGE OFCASES FILED"
"3","Criminal (not incl. juvenile)","333","40%","","Administrative/WCA","50","6%"
"4","General Civil","279","34%","","Workers Comp Admin.","33",""
"5","Mental Health","1","","","Unemployment Comp","1",""
"6","WC District Court","1","","","Other Administrative Appeals","16",""
"7","Medical Malpractice","4","","","Children's Court","53","6%"
"8","Writ of Error","8","","","Children's Court Delinquency","7",""
"9","Other Torts","20","","","Termination of Parental Rights","46",""
"10","Property","12","","","Grand Total New Cases","826",""
"11","Probate","9","","","","",""
"12","Environmental - Water","4","","","","",""
"13","Environmental Miscellaneous","0","","","","",""
"14","Other Civil Cases and Contracts","220","","","","",""
"15","Discretionary","70","9%","","","",""
"16","Interlocutory - Criminal","7","","","","",""
"17","Interlocutory - Civil","36","","","","",""
"18","12-505 Writ of Certiorari","25","","","","",""
"19","Class Action Certification","2","","","","",""
"20","Domestic","41","5%","","","",""
"21","Divorce w/ Custody/Support","26","","","","",""
"22","Divorce w/o Custody/Support","15","","","","",""
