"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","","","","","","","Pending Cases Trials","","","","Non‐Trial Manner of Disposition",""
"2","","Pend at","New","Re Open","Closed","Pend at","0 ‐ 18 > 18 Inact. Jury Non Jury","","Pet.","Pet.","Settl. Dismis. Default Stip. Arbitr.","Post J Other"
"3","Eleventh District Court, page 1","Start","","","","End","Months Months BW","","Deny","Grant","","Activ."
"4","APPEALS","","","","","","","","","","",""
"5","Civil Administrative Appeal ‐ Defendant Appellant","7","2","0","8","1","1 0 0 0 0","","0","0","0 8 0 0 0","0 0"
"6","Civil Administrative Appeal ‐ Plaintiff Appellant","9","7","3","11","8","5 3 0 0 0","","2","2","0 6 0 0 0","1 0"
"7","Civil Appeals","10","0","0","6","4","0 3 1 0 0","","0","1","0 3 0 0 0","0 0"
"8","Civil Appeals ‐ Defendant Appellant","13","19","1","16","17","11 6 0 0 2","","1","1","0 10 0 0 0","1 2"
"9","Civil Appeals ‐ Plaintiff Appellant","2","4","0","3","3","2 1 0 0 0","","0","1","0 1 0 0 0","0 1"
"10","License Revocation Appeal ‐ Defendant Appellant","1","5","0","3","3","3 0 0 0 0","","0","1","0 2 0 0 0","0 0"
"11","License Revocation Appeal ‐ Plaintiff Appellant","7","4","0","5","6","6 0 0 0 0","","1","0","0 4 0 0 0","0 0"
"12","CIVIL","","","","","","","","","","",""
"13","Adult Adoption","1","7","0","4","4","4 0 0 0 0","","0","3","0 1 0 0 0","0 0"
"14","Civil Violations, Statutes, Ordinances","14","11","2","15","12","6 5 1 0 0","","0","1","0 11 1 0 0","0 2"
"15","Habeas Corpus","3","1","1","3","2","1 1 0 0 0","","0","1","0 2 0 0 0","0 0"
"16","Lower Court Competency","121","192","1","193","119","83 15 21 0 0","","0","0","0 49 0 0 0","1 132"
"17","Minor Settlement","15","19","0","22","12","10 2 0 0 0","","1","12","0 6 0 0 0","0 3"
"18","Miscellaneous Civil","160","135","13","163","146","84 59 3 0 4","","4","75","0 53 4 0 0","16 9"
"19","Name Change","53","211","6","191","77","58 19 0 0 0","","0","171","0 4 0 0 0","6 10"
"20","Other","29","16","3","23","25","15 10 0 0 0","","0","6","0 11 0 0 0","5 1"
"21","Wrongful Death Personal Representative","21","31","2","30","24","15 9 0 0 0","","0","23","0 5 0 0 0","0 2"
"22","CONTRACT","","","","","","","","","","",""
"23","Contract/Debt & Money Due","1201","1410","92","1355","1333","1039 242 52 0 7","","6","120","0 621 396 0 0","124 85"
"24","Real Estate","300","313","60","356","315","269 36 10 0 2","","3","34","0 121 114 0 0","52 28"
"25","DOMESTIC RELATIONS","","","","","","","","","","",""
"26","Child Support","212","5","263","302","176","113 23 40 0 0","","0","1","0 1 2 0 0","293 5"
"27","Child Support Enforcement","355","304","246","588","311","279 19 13 0 0","","1","40","0 97 66 2 0","223 159"
"28","Custody and Visitation","45","27","28","56","44","32 10 2 0 0","","0","6","0 10 1 0 0","32 7"
"29","Dissolution","171","314","51","381","154","126 26 2 0 0","","2","17","0 65 15 0 0","54 226"
"30","Dissolution With Custody","623","314","442","821","563","406 115 42 0 0","","2","9","0 83 30 0 0","486 208"
"31","Domestic Matters Miscellaneous","32","9","30","46","25","17 5 3 0 0","","0","3","0 6 0 0 0","35 2"
"32","Domestic Kinship/Guardianship","55","84","11","85","62","49 12 1 0 0","","3","45","0 13 0 0 0","17 6"
"33","Domestic Violence","240","993","18","1007","243","117 120 6 0 0","","9","37","0 778 0 0 0","22 107"
"34","Parentage","402","104","309","453","362","227 97 38 0 0","","0","9","0 53 5 0 0","333 53"
