"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"1","","","","","","","","Pending Cases","Trials","Trial Manner of Disposition","Non‐Trial Manner of Disposition"
"2","Catron County Quemado Magistrate","Pend at","","","","Pend at","0 ‐ 6","> 6 Inact.","","Plea At Dism At","Dism Bef Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End","Months","Months BW","Jury NonJury","Convict Acquit Trial Trial","Trial Trial Pros Activ Other"
"4","DWI Misdemeanor","1","1","0","1","1","0","0 1","0 1","0 1 0 0","0 0 0 0 0"
"5","Felony","1","0","0","1","0","0","0 0","0 0","0 0 0 0","0 0 0 0 0"
"6","Misdemeanor (Mag)","31","6","0","7","30","0","1 29","0 5","1 0 0 4","0 2 0 0 0"
"7","Traffic","138","1","0","4","135","0","3 132","0 0","0 0 0 0","1 3 0 0 0"
"8","Total","171","8","0","13","166","0","4 162","0 6","1 1 0 4","1 5 0 0 0"
"9","Catron County Reserve Magistrate","","","","","","","","","",""
"10","Court","","","","","","","","","",""
"11","Domestic Violence Misdemeanor","3","7","0","6","4","2","0 2","0 3","1 0 0 1","0 2 1 0 1"
"12","DWI Felony","1","0","1","2","0","0","0 0","0 0","0 0 0 0","0 0 0 2 0"
"13","DWI Misdemeanor","40","8","0","12","36","2","12 22","0 5","0 0 5 0","1 4 2 1 0"
"14","Extradition","1","3","0","4","0","0","0 0","0 0","0 0 0 0","0 0 0 0 4"
"15","Felony","13","27","0","21","19","8","1 10","0 0","0 0 0 0","0 1 2 0 18"
"16","Misdemeanor (Mag)","91","85","0","84","92","21","6 65","0 16","4 1 3 8","6 45 18 0 0"
"17","Traffic","231","248","0","271","209","34","19 156","0 28","21 2 4 1","60 141 45 0 0"
"18","Total","380","378","1","400","360","67","38 255","0 52","26 3 12 10","67 193 68 3 23"
"19","Chaves County Roswell Magistrate","","","","","","","","","",""
"20","Court","","","","","","","","","",""
"21","Domestic Violence Felony","11","31","0","34","9","4","0 5","0 0","0 0 0 0","2 3 15 1 14"
"22","Domestic Violence Misdemeanor","156","241","2","256","144","74","7 63","6 12","3 3 8 4","1 96 150 3 4"
"23","DWI Felony","3","14","0","11","6","4","0 2","0 0","0 0 0 0","1 1 3 0 7"
"24","DWI Misdemeanor","126","232","1","229","130","48","5 77","0 6","2 0 3 1","1 145 171 1 0"
"25","Extradition","4","27","0","22","10","7","0 3","0 0","0 0 0 0","0 0 5 0 17"
"26","Felony","184","662","4","611","237","74","0 163","0 1","0 0 1 0","15 12 105 4 488"
"27","Misdemeanor (Mag)","509","971","1","925","557","197","37 323","4 236","34 3 61 142","21 426 274 1 1"
"28","Contempt","0","3","0","1","2","2","0 0","0 0","0 0 0 0","0 1 0 0 0"
"29","Traffic","675","2471","1","2450","690","338","5 347","0 494","284 4 29 177","426 1149 428 2 0"
"30","Total","1668","4652","9","4539","1785","748","54 983","10 749","323 10 102 324","467 1833 1151 12 531"
