"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases Trials","","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","","Pend at","","","","Pend at 0 ‐ 6","> 6","","Plea At Dism At Dism Bef Plea Bef","Dism By Post J"
"3","Third District Court","Start","New","Re open","Closed","End Months Months","Inact. BW Jury NonJury","","Convict Acquit Trial Trial Trial Trial","Pros Activ Other"
"4","CRIMINAL","","","","","","","","",""
"5","Adult Motor Vehicle Offenses","3","0","0","0","3 0","0 3 0 0","","0 0 0 0 0 0","0 0 0"
"6","Extradition","8","26","0","20","14 7","7 0 0 0","","0 0 0 0 0 0","11 0 9"
"7","Felony Crimes Against Property","492","253","262","555","451 183","69 199 8 1","","3 2 3 1 15 220","48 265 1"
"8","Felony Crimes Against Persons","634","400","299","723","615 251","164 200 18 0","","5 6 4 3 11 298","78 322 3"
"9","Felony Drug Offenses","601","429","272","694","611 213","174 224 6 0","","6 0 0 0 12 373","47 264 0"
"10","Felony DWI/DUI","91","65","34","73","116 39","25 52 5 0","","4 1 0 0 1 37","6 24 0"
"11","Felony Homicide","26","11","8","19","26 4","16 6 0 0","","0 0 0 0 0 7","1 11 0"
"12","Felony Miscellaneous","82","70","23","72","104 47","23 34 0 0","","0 0 0 0 3 41","13 15 0"
"13","Felony Public Safety Offenses","14","11","6","14","17 6","7 4 0 0","","0 0 0 0 0 7","2 6 0"
"14","Felony Sexual Offenses","124","51","48","90","133 43","52 38 8 0","","2 5 0 1 1 22","19 42 0"
"15","Felony First Degree","2","0","1","0","3 1","1 1 0 0","","0 0 0 0 0 0","0 0 0"
"16","Felony Domestic Violence","25","27","13","42","23 12","7 4 0 0","","0 0 0 0 0 19","8 15 0"
"17","Felony Vehicular Homicide","1","2","0","1","2 1","0 1 0 0","","0 0 0 0 0 1","0 0 0"
"18","Lower Court Appeal","1","0","0","0","1 0","0 1 0 0","","0 0 0 0 0 0","0 0 0"
"19","Lower Court Appeal ‐ Defendant Appellant","17","16","1","16","17 5","12 0 0 6","","5 1 0 0 1 8","0 1 0"
"20","Lower Court Appeal ‐ Plaintiff Appellant","1","1","0","1","1 0","1 0 0 0","","0 0 0 0 0 0","1 0 0"
"21","Lower Court DWI Appeal ‐ Defendant Appellant","7","8","1","10","6 3","3 0 1 4","","4 0 1 0 1 3","1 0 0"
"22","Misdemeanor (Dist.)","4","36","1","30","11 2","1 8 0 0","","0 0 0 0 1 20","8 1 0"
"23","Misdemeanor DWI/DUI","24","3","1","12","16 2","0 14 0 1","","1 0 0 0 0 3","6 2 0"
"24","Total","2157","1409","970","2372","2170 819","562 789 46 12","","30 15 8 5 46 1059","249 968 13"
"25","JUVENILE","","","","","","","","",""
"26","Juvenile Public Safety Offenses","3","32","1","23","13 12","0 1 0 0","","0 0 0 0 1 12","8 2 0"
"27","Juvenile Crimes Against Property","43","93","42","118","59 44","3 12 0 0","","0 0 0 0 3 37","43 36 0"
"28","Juvenile Crimes Against Persons","73","150","48","205","65 53","3 9 0 0","","0 0 0 0 2 72","83 49 0"
"29","Juvenile Delinquent Felony","2","9","1","4","7 7","0 0 0 0","","0 0 0 0 0 2","2 0 0"
"30","Juvenile Delinquent Non‐Felony","4","23","3","19","11 9","0 2 0 0","","0 0 0 0 0 4","12 3 0"
"31","Juvenile Drug Offenses","18","69","15","61","40 37","0 3 0 0","","0 0 0 0 0 23","18 20 0"
"32","Juvenile DWI Offenses","3","11","2","15","1 1","0 0 0 0","","0 0 0 0 0 8","4 3 0"
"33","Juvenile Motor Vehicle Offenses","1","8","0","8","1 1","0 0 0 0","","0 0 0 0 0 0","8 0 0"
"34","Juvenile Sexual Offenses","16","19","3","23","15 10","2 3 0 0","","0 0 0 0 2 7","10 3 1"
"35","Youthful Offender Crimes Against Persons","3","0","0","2","1 0","1 0 0 0","","0 0 0 0 0 0","0 2 0"
"36","Youthful Offender Crimes Against Property","0","0","1","1","0 0","0 0 0 0","","0 0 0 0 0 0","0 1 0"
"37","Youthful Offender Homicide","2","0","0","1","1 0","1 0 1 0","","0 1 0 0 0 0","0 0 0"
"38","Youthful Offender Sexual Offenses","2","2","0","4","0 0","0 0 1 0","","0 1 0 0 0 2","1 1 0"
"39","Total","170","416","116","484","214 174","10 30 2 0","","0 2 0 0 8 167","189 120 1"
