"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","","","","","","","Pending Cases","Trials","Trial Manner of Disposition Non‐Trial Manner of Disposition",""
"2","Lincoln County Ruidoso Magistrate","Pend at","","","","Pend at 0 ‐ 6","> 6 Inact.","","Plea At Dism At Dism Bef","Plea Bef Dism By Post J"
"3","Court","Start","New","Re open","Closed","End Months","Months BW","Jury NonJury","Convict Acquit Trial Trial Trial","Trial Pros Activ Other"
"4","Domestic Violence Felony","0","5","0","3","2 2","0 0","0 0","0 0 0 0 0","0 0 0 3"
"5","Domestic Violence Misdemeanor","44","57","0","44","57 27","12 18","8 2","5 3 0 2 2","26 3 0 2"
"6","DWI Felony","3","4","0","6","1 0","0 1","1 0","0 1 0 0 0","1 0 0 4"
"7","DWI Misdemeanor","61","93","0","82","72 36","13 23","3 2","4 1 0 0 0","73 9 0 0"
"8","Extradition","0","1","0","1","0 0","0 0","0 0","0 0 0 0 0","0 0 0 1"
"9","Felony","87","144","1","126","105 28","3 74","0 0","0 0 0 0 8","2 15 1 102"
"10","Misdemeanor (Mag)","267","512","1","485","294 97","24 173","7 7","6 0 2 6 21","411 36 3 4"
"11","Traffic","271","1234","0","1212","295 120","3 172","0 9","0 2 0 7 198","923 84 0 0"
"12","Total","733","2050","2","1959","826 310","55 461","19 20","15 7 2 15 229","1436 147 4 116"
"13","Los Alamos County Los Alamos","","","","","","","","",""
"14","Magistrate Court","","","","","","","","",""
"15","Domestic Violence Felony","0","2","0","2","0 0","0 0","0 0","0 0 0 0 0","0 1 0 1"
"16","Domestic Violence Misdemeanor","12","16","0","21","7 4","0 3","0 0","0 0 0 0 1","10 12 0 0"
"17","DWI Felony","1","0","0","1","0 0","0 0","0 0","0 0 0 0 0","1 0 0 0"
"18","DWI Misdemeanor","32","18","0","38","12 0","3 9","1 0","1 0 0 0 1","30 9 0 1"
"19","Extradition","2","2","0","4","0 0","0 0","0 0","0 0 0 0 0","0 1 0 3"
"20","Felony","55","115","4","127","47 22","5 20","0 0","0 0 0 0 5","12 27 5 79"
"21","Misdemeanor (Mag)","66","109","1","118","57 18","9 30","0 3","0 0 1 2 12","56 49 3 0"
"22","Traffic","48","309","0","316","40 25","3 12","0 15","10 0 1 4 80","188 36 0 0"
"23","Total","216","571","5","627","163 69","20 74","1 18","11 0 2 6 99","297 135 8 84"
"24","Luna County Deming Magistrate","","","","","","","","",""
"25","Court","","","","","","","","",""
"26","Domestic Violence Felony","3","8","0","9","3 2","0 1","0 0","0 0 0 0 0","0 0 1 8"
"27","Domestic Violence Misdemeanor","55","129","1","120","63 35","6 22","1 27","11 5 10 2 11","60 20 3 1"
"28","DWI Felony","6","7","1","6","8 4","3 1","0 0","0 0 0 0 0","1 1 1 3"
"29","DWI Misdemeanor","90","107","0","88","111 66","30 15","3 10","9 1 3 0 0","61 16 2 2"
"30","Extradition","18","48","0","38","28 1","11 16","0 0","0 0 0 0 0","0 3 0 34"
"31","Felony","176","233","2","234","180 106","45 29","0 0","0 0 0 0 4","5 23 6 192"
"32","Misdemeanor (Mag)","627","496","1","446","676 346","19 311","0 86","5 0 35 45 24","268 60 1 8"
"33","Traffic","1735","3488","0","3223","2004 994","89 921","0 121","96 19 5 1 819","1521 759 6 1"
"34","Total","2710","4516","5","4164","3073 1554","203 1316","4 244","121 25 53 48 858","1916 882 20 249"
