"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13"
"1","","","","","","","Pending Cases","Trials","","","Non‐Trial Manner of Disposition","",""
"2","","Pend at","","","","Pend at","0 ‐ 18 > 18 Inact.","","Pet.","Pet.","","Post J",""
"3","Statewide Magistrate Court","Start","New","Re Open","Closed","End","Months Months BW","Jury Non Jury","Deny","Grant Settl.","Dismis. Default Stip. Arbitr.","Activ","Other"
"4","Forcible Detainer","108","154","0","150","111","22 83 6","0 1","2","88","0 49 5 0 0","0","2"
"5","General Civil","16864","10033","60","10592","16370","4243 11285 842","4 901","116","1501","9 3896 4529 1 3","105","104"
"6","Interpleader","1","1","0","1","1","0 1 0","0 0","0","0","0 1 0 0 0","0","0"
"7","Landlord Tenant","3762","6260","22","6411","3642","546 3068 28","0 191","66","3869","6 1977 272 0 0","27","137"
"8","Livestock","13","9","0","6","16","6 10 0","0 0","0","3","0 3 0 0 0","0","0"
"9","Mobile Home Park","99","426","1","418","110","43 67 0","0 1","1","224","0 155 34 0 0","1","0"
"10","Tort Auto","1","0","0","0","1","0 1 0","0 0","0","0","0 0 0 0 0","0","0"
"11","Total","20848","16883","83","17578","20251","4860 14515 876","4 1094","185","5685","15 6081 4840 1 3","133","243"
